time,hs
1970-12-31,9.3
1971-12-31,9.87
1972-12-31,14.54
1973-12-31,8.48
1974-12-31,7.93
1975-12-31,10.89
1976-12-31,10.54
1977-12-31,9.23
1978-12-31,10.7
1979-12-31,13.88
1980-12-31,9.63
1981-12-31,10.19
1982-12-31,8.2
1983-12-31,11.78
1984-12-31,8.21
1985-12-31,9.11
1986-12-31,8.51
1987-12-31,8.45
1988-12-31,16.56
1989-12-31,13.01
1990-12-31,11.55
1991-12-31,10.71
1992-12-31,15.11
1993-12-31,11.43
1994-12-31,9.18
1995-12-31,8.31
1996-12-31,7.17
1997-12-31,12.02
1998-12-31,12.12
1999-12-31,9.66
2000-12-31,10.75
2001-12-31,10.58
2002-12-31,7.83
2003-12-31,11.28
2004-12-31,11.07
2005-12-31,9.8
2006-12-31,10.1
2007-12-31,8.32
2008-12-31,10.64
2009-12-31,8.22
2010-12-31,7.15
2011-12-31,15.06
2012-12-31,8.85
2013-12-31,10.19
2014-12-31,8.14
2015-12-31,13.53
2016-12-31,11.87
2017-12-31,9.37
2018-12-31,7.48
2019-12-31,10.51
2020-12-31,10.24
2021-12-31,9.52
2022-12-31,10.91
2023-12-31,8.9
2024-12-31,13.64
