return_period,return_level,ci_lower,ci_upper,ci_width,xi_hat_full,sigma_hat_full,threshold,lambda_rate,xi_boot_mean,xi_boot_std,sigma_boot_mean,sigma_boot_std,n_bootstrap,conf_level
1,9.459076647027288,9.145220534632369,9.762081332877178,0.6168607982448098,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
2,10.560307857341478,10.125960262045098,10.989625242444049,0.8636649803989513,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
3,11.188963097438226,10.65654289036581,11.700084122212408,1.0435412318465982,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
4,11.628193078269145,11.024206684238568,12.227092566864176,1.2028858826256084,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
5,11.965047031785687,11.306241148644071,12.622573203629804,1.3163320549857325,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
6,12.2378122333297,11.5175375628634,12.955758916895402,1.4382213540320024,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
7,12.466717018121651,11.701844565318835,13.236117394741344,1.534272829422509,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
8,12.66374204781785,11.860873891238223,13.482279584106118,1.6214056928678957,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
9,12.836564338403988,11.998158435289003,13.697933049625183,1.6997746143361798,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
10,12.990395846949408,12.11595999161949,13.885164234549169,1.7692042429296784,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
11,13.128935342576327,12.218789615616574,14.057577357535507,1.8387877419189333,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
12,13.254901542741575,12.307269592648712,14.215171692159185,1.9079020995104727,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
13,13.370350632724406,12.38592494788928,14.365312772019715,1.979387824130436,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
14,13.476874943413002,12.468898129135159,14.501860879473403,2.0329627503382444,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
15,13.575732422540788,12.543982439736448,14.629043158380576,2.0850607186441277,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
16,13.667933928478796,12.610925848820312,14.748065786290399,2.137139937470087,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
17,13.75430381616929,12.669235355242277,14.859915768804091,2.1906804135618145,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
18,13.835523048942562,12.727325168839453,14.965411041994425,2.238085873154972,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
19,13.912160549893187,12.780203377503371,15.065237025581432,2.285033648078061,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
20,13.984696440461125,12.830173847583014,15.159973799754228,2.3297999521712143,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
21,14.053539559446257,12.87741586038687,15.250116651948012,2.372700791561142,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
22,14.119040871048554,12.923693138287556,15.3360918448566,2.4123987065690446,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
23,14.181503866635406,12.9695879607482,15.418268880545059,2.4486809197968586,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
24,14.241192733648333,13.013441765057838,15.49697015552912,2.4835283904712817,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
25,14.298338842607407,13.055333084998306,15.57247864587923,2.5171455608809232,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
26,14.35314595092687,13.095423155244328,15.6450194105021,2.5495962552577716,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
27,14.405794416243523,13.134085845960549,15.714273352942666,2.580187506982117,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
28,14.456444636968836,13.172026021908083,15.78249146210755,2.6104654401994676,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
29,14.505239883956936,13.208517278706072,15.848029669791824,2.639512391085752,-0.04436081271084491,1.8208593787403347,4.78,15.30764456775701,-0.04764956823200079,0.03361198148342269,1.8253209002035695,0.0888540294337716,2000,0.95
