,0
0,5.52
1,5.73
2,10.41
3,5.4
4,6.55
5,8.27
6,5.95
7,5.83
8,5.61
9,4.86
10,6.76
11,5.49
12,5.07
13,5.36
14,5.81
15,9.3
16,4.83
17,6.72
18,5.09
19,6.52
20,5.85
21,5.35
22,6.22
23,7.22
24,4.81
25,5.35
26,5.03
27,5.24
28,5.39
29,4.91
30,5.24
31,7.06
32,7.49
33,9.87
34,6.51
35,5.64
36,5.37
37,5.61
38,6.19
39,7.96
40,7.26
41,6.42
42,7.39
43,7.59
44,6.85
45,6.46
46,6.76
47,4.98
48,4.91
49,14.54
50,4.94
51,8.66
52,5.59
53,6.51
54,7.9
55,6.5
56,5.14
57,4.83
58,7.26
59,4.81
60,5.84
61,5.0
62,5.06
63,5.62
64,8.38
65,6.29
66,6.26
67,5.62
68,4.81
69,6.32
70,6.81
71,6.88
72,7.3
73,6.84
74,7.64
75,6.37
76,5.7
77,5.46
78,7.93
79,5.08
80,6.76
81,7.89
82,7.06
83,5.72
84,10.17
85,5.78
86,7.87
87,5.55
88,4.94
89,7.09
90,5.59
91,5.57
92,5.71
93,5.78
94,6.02
95,5.5
96,5.71
97,5.46
98,6.1
99,4.85
100,7.94
101,5.67
102,5.43
103,9.86
104,5.66
105,8.16
106,10.89
107,8.27
108,8.0
109,5.96
110,7.02
111,10.54
112,7.87
113,4.81
114,6.5
115,5.48
116,5.71
117,5.83
118,6.15
119,5.57
120,4.8
121,5.16
122,7.02
123,6.52
124,4.83
125,5.53
126,6.58
127,6.32
128,5.38
129,5.17
130,4.84
131,7.31
132,9.23
133,4.79
134,8.34
135,5.4
136,6.73
137,5.29
138,7.12
139,8.34
140,6.2
141,6.28
142,4.97
143,4.96
144,10.7
145,4.84
146,6.92
147,6.47
148,6.6
149,6.42
150,6.24
151,8.41
152,6.33
153,5.46
154,6.29
155,6.99
156,6.0
157,5.2
158,6.26
159,8.08
160,8.91
161,7.11
162,13.88
163,6.78
164,5.58
165,8.45
166,7.27
167,6.12
168,5.35
169,5.07
170,6.0
171,4.85
172,5.16
173,5.22
174,6.14
175,8.14
176,9.63
177,8.42
178,10.19
