time,hs
1970-12-31,7.27
1971-12-31,7.26
1972-12-31,9.78
1973-12-31,9.97
1974-12-31,7.57
1975-12-31,9.99
1976-12-31,9.67
1977-12-31,7.7
1978-12-31,10.23
1979-12-31,10.28
1980-12-31,9.19
1981-12-31,9.16
1982-12-31,7.48
1983-12-31,9.79
1984-12-31,7.29
1985-12-31,7.1
1986-12-31,7.3
1987-12-31,7.81
1988-12-31,11.99
1989-12-31,9.53
1990-12-31,8.8
1991-12-31,10.22
1992-12-31,13.0
1993-12-31,13.0
1994-12-31,8.63
1995-12-31,8.79
1996-12-31,5.56
1997-12-31,9.18
1998-12-31,8.82
1999-12-31,8.77
2000-12-31,11.04
2001-12-31,7.95
2002-12-31,8.72
2003-12-31,8.39
2004-12-31,8.73
2005-12-31,10.23
2006-12-31,6.87
2007-12-31,8.74
2008-12-31,9.54
2009-12-31,6.65
2010-12-31,6.39
2011-12-31,12.78
2012-12-31,8.23
2013-12-31,9.98
2014-12-31,6.72
2015-12-31,11.12
2016-12-31,13.62
2017-12-31,10.45
2018-12-31,7.16
2019-12-31,10.3
2020-12-31,8.08
2021-12-31,7.24
2022-12-31,10.13
2023-12-31,8.55
2024-12-31,9.04
