return_period,return_level,ci_lower,ci_upper,ci_width,xi_hat_full,sigma_hat_full,threshold,lambda_rate,xi_boot_mean,xi_boot_std,sigma_boot_mean,sigma_boot_std,n_bootstrap,conf_level
1,8.308190032460374,8.03234119961098,8.578626124682742,0.5462849250717614,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
2,9.294237111717981,8.896911294821221,9.675174202892315,0.7782629080710937,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
3,9.858487383187752,9.382528314562439,10.327844651495141,0.9453163369327022,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
4,10.253314215113512,9.707238393116418,10.789683048571932,1.0824446554555145,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
5,10.556451385200804,9.956273828299597,11.145606122125916,1.1893322938263182,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
6,10.802131332810175,10.154832089387362,11.44198702913086,1.2871549397434983,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
7,11.008457157026447,10.319029179584547,11.701096340370462,1.3820671607859154,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
8,11.186159014927842,10.467810027097977,11.91266811713184,1.444858090033863,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
9,11.34211706568831,10.5919573067458,12.106541525594182,1.5145842188483822,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
10,11.481004895144565,10.707229489791954,12.278045331457287,1.5708158416653326,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
11,11.606140848409318,10.804399266345492,12.431308590755862,1.62690932441037,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
12,11.719965100465561,10.893398960915766,12.574066395202252,1.6806674342864856,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
13,11.824323914539695,10.974607966231002,12.706880252086359,1.7322722858553572,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
14,11.92064758105667,11.045572836304325,12.830082289222624,1.7845094529182983,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
15,12.010066417609467,11.107957750784104,12.942099507773033,1.8341417569889291,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
16,12.093489006916776,11.17218394699673,13.055955587782186,1.8837716407854561,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
17,12.17165651488584,11.23264459442697,13.153891695166013,1.921247100739043,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
18,12.245181353784412,11.289362130339853,13.252309307402571,1.962947177062718,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
19,12.314575306305938,11.34275784589681,13.346314866141332,2.003557020244523,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
20,12.380270377395826,11.393186457916014,13.435019793433959,2.0418333355179445,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
21,12.442634517804864,11.440949362600406,13.514931466025281,2.073982103424875,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
22,12.501983660779981,11.485612225633462,13.59099771710906,2.105385491475598,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
23,12.558591062014168,11.528888986079208,13.666231435765757,2.1373424496865496,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
24,12.612694636203642,11.567250074188685,13.734511460755021,2.167261386566336,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
25,12.664502784239563,11.603499329704489,13.800199750840102,2.1967004211356134,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
26,12.714199068620168,11.63794631502587,13.865420584686916,2.2274742696610463,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
27,12.761945999643434,11.670519480151517,13.929734465535182,2.2592149853836645,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
28,12.807888127707583,11.701773275090504,13.991587315427779,2.2898140403372746,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
29,12.852154588787458,11.731805486903474,14.051462923431181,2.3196574365277076,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
30,12.894861215052076,11.760703590171483,14.109241223469986,2.3485376332985037,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
31,12.936112296741365,11.788546136634782,14.165150060930014,2.3766039242952317,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
32,12.97600206217151,11.815649491097373,14.219310944974671,2.403661453877298,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
33,13.014615928252407,11.845820252870144,14.271830655733009,2.4260104028628646,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
34,13.05203156289176,11.87147019649751,14.322806455397211,2.451336258899701,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
35,13.08831979221739,11.897485842765962,14.372353812232271,2.4748679694663096,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
36,13.123545379018633,11.922087086360127,14.420546250050148,2.49845916369002,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
37,13.15776769371554,11.944621561665022,14.467438869189666,2.522817307524644,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
38,13.191041295164567,11.966632459123852,14.513098309552266,2.5464658504284134,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
39,13.223416435444227,11.989413299635387,14.557547718103793,2.5681344184684054,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
40,13.254939500243875,12.0133840421935,14.600862206299173,2.587478164105672,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
41,13.28565339445824,12.036605797571013,14.642122959418446,2.605517161847432,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
42,13.315597880961642,12.059271293532387,14.682376099276437,2.6231048057440507,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
43,13.344809879214917,12.081362144041869,14.72168930830313,2.6403271642612616,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
44,13.37332372928162,12.102905784252306,14.760105643142746,2.65719985889044,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
45,13.401171425947807,12.1232957015077,14.79938099514774,2.676085293640039,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
46,13.428382826913454,12.14281941054364,14.836377965998965,2.6935585554553256,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
47,13.454985838422997,12.161884987879096,14.872520032891453,2.7106350450123564,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
48,13.481006581203218,12.179810606841045,14.907901725869365,2.7280911190283206,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
49,13.506469539160689,12.196862186027897,14.942560518926431,2.7456983328985345,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
50,13.531397692942006,12.21353190256916,14.976525490983962,2.762993588414801,-0.04000972741138639,1.614751650851221,4.0,16.801073306074766,-0.043656827848121006,0.03150702378280853,1.6203323331063961,0.07371343429801938,2000,0.95
