,0
0,4.12
1,5.86
2,10.81
3,8.57
4,5.02
5,4.63
6,4.39
7,6.39
8,5.21
9,4.06
10,4.07
11,4.52
12,5.04
13,5.13
14,4.63
15,5.53
16,4.42
17,5.33
18,5.22
19,7.27
20,4.22
21,4.87
22,4.66
23,5.11
24,6.1
25,4.66
26,6.43
27,4.4
28,4.92
29,4.73
30,4.07
31,4.62
32,5.28
33,5.21
34,4.87
35,5.31
36,7.26
37,4.7
38,7.15
39,5.03
40,4.6
41,6.7
42,6.76
43,4.66
44,4.11
45,5.17
46,5.39
47,4.44
48,7.7
49,5.02
50,7.98
51,4.1
52,4.48
53,4.96
54,7.04
55,9.78
56,5.69
57,4.04
58,4.35
59,4.49
60,4.75
61,9.97
62,4.76
63,5.34
64,5.9
65,4.84
66,4.35
67,4.03
68,4.07
69,5.35
70,7.31
71,7.33
72,6.84
73,4.61
74,6.38
75,5.6
76,5.58
77,5.79
78,4.09
79,7.0
80,4.97
81,5.48
82,4.42
83,4.11
84,6.99
85,4.11
86,6.0
87,5.5
88,7.57
89,4.12
90,5.62
91,7.62
92,5.71
93,4.05
94,4.76
95,4.77
96,5.3
97,4.87
98,5.37
99,4.15
100,6.1
101,4.46
102,4.76
103,5.08
104,7.09
105,4.03
106,4.76
107,9.99
108,5.41
109,7.1
110,9.94
111,6.26
112,6.75
113,6.77
114,4.42
115,4.04
116,5.2
117,4.11
118,8.54
119,9.67
120,4.28
121,4.07
122,6.27
123,4.33
124,4.04
125,4.47
126,4.05
127,4.9
128,4.89
129,4.78
130,4.63
131,5.27
132,6.6
133,4.32
134,4.02
135,5.35
136,5.85
137,4.19
138,4.85
139,4.03
140,7.7
141,4.01
142,4.08
143,5.07
144,6.94
145,4.81
146,6.59
147,4.48
148,5.81
149,4.72
150,4.34
151,4.64
152,9.3
153,4.85
154,4.02
155,4.49
156,10.23
157,5.58
158,6.81
159,4.6
160,4.55
161,8.31
162,5.55
163,6.25
164,5.87
165,5.81
166,4.61
167,4.14
168,4.14
169,5.98
170,4.56
171,5.49
172,4.15
173,7.47
174,5.3
175,6.48
176,6.89
177,10.28
178,4.11
179,4.34
180,4.84
181,4.88
182,6.31
183,5.25
184,4.47
185,4.19
186,4.45
187,5.99
188,4.49
189,9.19
190,4.4
191,4.78
192,4.7
193,6.15
194,4.39
195,6.36
196,4.59
197,8.92
198,4.44
199,7.08
200,7.4
201,4.92
202,7.65
203,5.03
204,4.95
205,4.24
206,5.45
207,4.63
208,4.59
209,6.64
210,7.72
211,4.4
212,5.99
213,6.2
214,9.16
215,5.37
216,4.83
217,4.4
218,5.67
219,6.56
220,5.14
221,5.06
222,5.87
223,5.55
224,5.45
225,4.32
226,4.47
227,6.0
228,4.81
229,4.96
230,4.15
231,4.98
232,6.03
233,4.52
234,4.91
235,7.48
236,6.37
237,4.35
238,6.74
239,9.79
240,4.76
241,7.58
242,7.51
243,4.52
244,6.57
245,6.25
246,4.06
247,4.72
248,4.35
249,4.08
250,7.07
251,8.98
252,4.76
253,8.03
254,4.1
255,4.09
256,5.97
257,5.16
258,7.1
259,6.03
260,7.29
261,4.3
262,4.9
263,4.45
264,4.06
265,4.35
266,4.29
267,4.25
268,4.98
269,7.26
270,4.24
271,4.29
272,4.66
273,5.03
274,4.57
275,4.21
276,6.41
277,5.37
278,4.93
279,7.1
280,6.48
281,6.63
282,6.74
283,6.4
284,4.25
285,4.15
286,4.09
287,5.01
288,4.27
289,6.74
290,4.36
291,5.59
292,4.16
293,6.83
294,4.14
295,5.64
296,4.61
297,5.89
298,5.92
299,5.36
300,4.86
301,5.07
302,7.3
303,4.48
304,4.83
305,4.04
306,4.94
307,4.1
308,4.55
309,4.9
310,7.69
311,4.28
312,5.0
313,7.81
314,5.16
315,5.97
316,4.92
317,6.26
318,4.13
319,6.58
320,5.52
321,5.0
322,6.23
323,4.81
324,4.23
325,4.57
326,4.08
327,5.74
328,4.53
329,6.89
330,11.99
331,6.73
332,6.79
333,9.15
334,9.53
335,6.67
336,8.04
337,6.04
338,4.46
339,5.23
340,5.42
341,5.18
342,5.32
343,5.1
344,6.24
345,4.09
346,5.71
347,5.14
348,5.42
349,4.31
350,5.46
351,8.03
352,5.28
353,6.42
354,7.38
355,8.26
356,6.1
357,7.86
358,4.56
359,4.46
360,4.22
361,4.23
362,7.42
363,5.31
364,4.81
365,5.23
366,4.96
367,8.8
368,6.76
369,5.07
370,4.53
371,5.39
372,4.96
373,5.62
374,7.32
375,5.69
376,4.35
377,4.33
378,6.17
379,4.52
380,4.56
381,5.41
382,4.29
383,4.46
384,4.37
385,5.28
386,10.22
387,4.65
388,13.0
389,5.51
390,4.69
391,4.33
392,4.15
393,4.35
394,6.45
395,7.63
396,4.07
397,7.07
398,4.16
399,4.08
400,4.38
401,4.88
402,4.13
403,4.61
404,4.61
405,4.03
406,6.8
407,7.0
408,4.2
409,13.0
410,6.21
411,7.27
412,4.48
413,6.89
414,4.07
415,7.18
416,6.17
417,4.67
418,4.61
419,4.13
420,4.35
421,4.38
422,5.65
423,5.64
424,4.89
425,8.63
426,7.81
427,5.66
428,5.04
429,4.49
430,4.28
431,5.11
432,4.54
433,4.04
434,6.34
435,4.85
436,4.12
437,4.58
438,7.11
439,7.03
440,5.25
441,4.06
442,6.57
443,7.37
444,6.73
445,8.79
446,4.98
447,5.76
448,6.3
449,4.61
450,4.63
451,5.15
452,5.45
453,6.8
454,4.65
455,4.91
456,5.88
457,5.77
458,4.73
459,5.32
460,5.11
461,5.56
462,4.15
463,4.74
464,4.86
465,5.55
466,4.39
467,6.29
468,4.45
469,9.18
470,7.58
471,6.12
472,5.08
473,5.35
474,6.1
475,5.4
476,5.75
477,8.17
478,4.98
479,4.16
480,5.05
481,4.95
482,6.12
483,4.57
484,6.78
485,4.43
486,4.99
487,5.55
488,5.17
489,4.27
490,4.45
491,4.13
492,5.46
493,5.22
494,4.39
495,8.82
496,4.08
497,4.29
498,5.01
499,5.75
500,4.46
501,8.77
502,6.53
503,4.72
504,4.03
505,4.72
506,4.55
507,5.87
508,6.56
509,4.07
510,5.56
511,4.01
512,8.58
513,4.86
514,6.65
515,7.84
516,11.04
517,5.22
518,9.23
519,5.52
520,6.2
521,7.84
522,5.81
523,4.78
524,4.66
525,8.56
526,4.59
527,4.58
528,4.9
529,4.15
530,4.04
531,5.57
532,5.52
533,5.15
534,5.45
535,4.53
536,4.2
537,4.08
538,5.97
539,4.63
540,7.95
541,4.12
542,5.9
543,5.0
544,4.77
545,4.58
546,4.91
547,5.62
548,7.4
549,5.23
550,5.76
551,5.03
